MARKERNAME	CAD_BETA	CAD_SE	CAD_MAF	MIG_BETA	MIG_SE	MIG_MAF
1:37696652	-0.0362	0.0655	0.0039000000000000146	-0.218083	0.142715	0.014367
1:37696668	0.0086	0.0142	0.0667	-0.0234	0.016536	0.051591
1:37696943	0.0122	0.0104	0.1143	-0.005978	0.012625	0.083394
1:37697077	0.0299	0.0915	0.0022	-0.43115	0.294923	0.012048
1:37697431	-0.0112	0.0148	0.04349999999999998	0.016541	0.019018	0.032331
1:37697456	0.0109	0.0148	0.0434	0.016553	0.019018	0.032331
1:37697754	-0.0106	0.0147	0.04420000000000002	0.024497	0.01662	0.043832
1:37698145	0.014	0.0222	0.0443	0.00023	0.021387	0.036782
1:37698159	-0.0107	0.0147	0.04420000000000002	0.02459	0.01662	0.043838
1:37698818	0.0109	0.0148	0.0434	0.016931	0.019024	0.032329
1:37698820	-0.0071	0.0259	0.01629999999999998	-0.059776	0.031426	0.021721
1:37699015	-0.0108	0.0147	0.04420000000000002	0.024726	0.016622	0.043849
1:37699184	-0.0183	0.0193	0.0419	0.018102	0.04341	0.022824
1:37699367	-0.0086	0.0152	0.04079999999999995	-0.014179	0.019561	0.031228
1:37699635	0.0161	0.0218	0.0456	-0.026887	0.016877	0.042146
1:37700050	0.0111	0.0147	0.0442	-0.024549	0.01662	0.043858
1:37700349	0.0111	0.0147	0.0442	-0.024522	0.016618	0.043863
1:37700493	-0.0153	0.0425	0.0099	-0.0415	0.201602	0.010357999999999978
1:37700866	-0.0129	0.0215	0.046699999999999964	-0.03448	0.019647	0.045355
1:37700872	-0.0129	0.0215	0.046699999999999964	-0.03449	0.019646	0.045356
1:37700884	0.04	0.0644	0.010700000000000043	-0.061236	0.126949	0.013724999999999987
1:37700910	0.0113	0.0147	0.0443	-0.024632	0.016617	0.043874
1:37700994	0.0018	0.0359	0.0092	-0.0266	0.036574	0.013355
1:37701025	0.0205	0.0298	0.0128	0.085815	0.063958	0.015897
1:37702049	-0.0124	0.011	0.2868	-0.01473	0.009365	0.309161
1:37702904	-0.0138	0.0103	0.11519999999999997	0.004872	0.012602	0.083708
1:37703332	-0.0139	0.0103	0.11529999999999996	0.004853	0.012602	0.083709
1:37703523	-0.0341	0.04	0.008299999999999974	-0.557499	0.354266	0.010911
1:37703720	-0.0126	0.0147	0.044399999999999995	0.024975	0.016616	0.043937
1:37704048	-0.0068	0.0075	0.22040000000000004	-0.017351	0.008182	0.246385
1:37704381	0.0163	0.0137	0.0737	-0.021771	0.016326	0.05286
1:37704464	-0.0114	0.0148	0.04390000000000005	-0.019257	0.018987	0.032553
1:37704527	0.0131	0.0147	0.0444	-0.024659	0.016611	0.043978
1:37704536	0.012	0.0148	0.0439	0.019417	0.018991	0.032548
1:37704767	-0.014	0.0104	0.11499999999999999	0.00486	0.012609	0.083797
1:37704781	-0.0129	0.0153	0.04279999999999995	-0.025279	0.016783	0.043529
1:37704843	0.0131	0.015	0.1496	-0.010249	0.014303	0.099807
1:37705135	0.0116	0.0149	0.0438	0.019514	0.01899	0.032574
1:37705479	-0.0142	0.0104	0.1149	0.004938	0.012609	0.083889
1:37706212	0.0114	0.0148	0.0511	0.018734	0.018954	0.040314
1:37706597	-0.0107	0.0149	0.04359999999999997	-0.019888	0.018984	0.032626
1:37706990	0.0151	0.0242	0.0195	0.004956	0.034706	0.015255
1:37707134	0.0139	0.0158	0.0384	0.012235	0.019621	0.031195
1:37707419	0.0164	0.0389	0.007800000000000029	0.104672	0.153937	0.023794
1:37707456	0.014	0.0104	0.114	-0.00369	0.012554	0.084422
1:37707682	-0.015	0.0102	0.11729999999999996	0.008382	0.012333	0.088304
1:37707904	-0.0131	0.0141	0.04930000000000001	0.024803	0.016502	0.045474
1:37707905	-0.0164	0.0104	0.11160000000000003	0.010057	0.01238	0.087722
1:37708030	0.014	0.0103	0.1136	-0.010047	0.012379	0.08773
1:37708032	-0.0156	0.0102	0.11670000000000003	0.008578	0.012328	0.08833
1:37708339	-0.0149	0.0102	0.11650000000000005	0.008871	0.012322	0.088381
1:37708712	0.0154	0.0147	0.0461	0.009997	0.017976	0.036986
1:37708801	0.013	0.0103	0.1126	-0.009717	0.012387	0.087793
1:37708832	0.0096	0.0137	0.0702	-0.023089	0.016398	0.053337
1:37709281	0.0017	0.0076	0.22250000000000003	-0.012022	0.008683	0.199689
1:37709328	-0.0064	0.0063	0.45320000000000005	-0.009742	0.00708	0.448125
1:37709631	-0.0011	0.0244	0.0186	0.008318	0.026928	0.021755
1:37709771	-0.2553	0.186	0.0006	0.035136	0.112059	0.024838
1:37710501	0.0029	0.0141	0.0487	-0.020957	0.015841	0.048414
1:37710590	0.0136	0.0083	0.16400000000000003	0.012758	0.009454	0.152047
1:37711445	-0.0035	0.0062	0.4452	0.015298	0.006973	0.434862
1:37711542	-0.0138	0.015	0.1141	-0.007167	0.011168	0.103436
1:37712179	-0.2847	0.1388	0.0007000000000000339	0.1248	0.175417	0.01083400000000001
1:37712292	-0.0228	0.0099	0.112	-0.007371	0.011167	0.103418
1:37712422	-0.0087	0.0093	0.129	0.005107	0.01049	0.124376
1:37713258	-0.0045	0.0096	0.4465	0.009946	0.008182	0.448676
1:37713571	0.0268	0.0403	0.0068	0.0493	0.137758	0.014364000000000043
1:37714281	-0.0408	0.0417	0.0082	0.012899	0.084166	0.013425
1:37714507	0.0101	0.043	0.0066	0.052126	0.143528	0.017968
1:37714588	0.0095	0.0136	0.0526	-0.028059	0.015083	0.053719
1:37715267	0.0065	0.0069	0.2825	0.02748	0.007743	0.283703
1:37715396	0.0011	0.0062	0.46440000000000003	-0.010965	0.006894	0.459755
1:37715508	-0.0021	0.0062	0.4472	0.012749	0.006933	0.438865
1:37715650	0.0112	0.0135	0.0528	-0.028204	0.015107	0.053595
1:37715956	-0.0157	0.0092	0.1296	-0.011399	0.010298	0.124181
1:37716037	0.0012	0.0062	0.46430000000000005	-0.010928	0.006889	0.459618
1:37716674	0.0063	0.0069	0.2822	0.027586	0.007723	0.28355
1:37716718	0.0063	0.0069	0.2822	0.027595	0.007723	0.283538
1:37716753	-0.0778	0.0638	0.0049	0.085	0.131413	0.016040000000000054
1:37716855	0.0063	0.0095	0.4608	0.008561	0.008105	0.465735
1:37716858	0.0063	0.0099	0.4894	0.012014	0.008503	0.486082
1:37717219	-0.0136	0.0141	0.05569999999999997	0.008104	0.017032	0.049655
1:37717519	-0.0335	0.022	0.021	0.017394	0.023915	0.020912
1:37717520	-0.0027	0.0074	0.23550000000000004	-0.028138	0.008127	0.248069
1:37717584	0.0139	0.0158	0.0456	0.022417	0.020873	0.051971
1:37717641	-0.0181	0.0145	0.04830000000000001	-0.0145	0.017822	0.037257
1:37717787	-0.0013	0.0062	0.4643	0.011128	0.006887	0.45965
1:37717812	0.001	0.0062	0.4618	-0.01146	0.006918	0.456232
1:37718134	0.003	0.0074	0.2357	0.028289	0.008129	0.24808
1:37718209	-0.0029	0.0063	0.4068	0.017581	0.007001	0.406092
1:37718210	0.033	0.0502	0.0055	0.031598	0.135616	0.019418
1:37718693	0.0398	0.1426	0.0010000000000000009	0.048002	0.441486	0.010852
1:37718726	-0.0306	0.0451	0.010299999999999976	0.123345	0.066084	0.016435
1:37718864	0.005	0.0098	0.41869999999999996	-0.015206	0.007134	0.429885
1:37719001	-0.003	0.0075	0.23470000000000002	0.027478	0.008213	0.243292
1:37719060	0.0028	0.0074	0.2355	0.028015	0.008134	0.248027
1:37719409	-0.0013	0.0062	0.4638	0.010871	0.006895	0.457696
1:37719506	0.0101	0.0135	0.0528	-0.027686	0.015101	0.053401
1:37720500	0.0027	0.0063	0.40680000000000005	-0.017029	0.007001	0.406018
1:37720833	0.0799	0.1352	0.0009	0.122813	0.156006	0.010612999999999984
1:37721074	-0.0028	0.0074	0.23550000000000004	-0.027852	0.008126	0.247963
1:37721274	0.0021	0.0063	0.40759999999999996	-0.016769	0.007001	0.406154
1:37721996	0.0116	0.0162	0.0373	0.016954	0.019422	0.03192
1:37722000	0.0493	0.0292	0.0118	0.029563	0.035298	0.012305
1:37722080	-0.0101	0.0135	0.05279999999999996	-0.02729	0.015113	0.053195
1:37722221	-0.0154	0.0093	0.1266	-0.010198	0.010405	0.122972
1:37722267	-0.0005	0.0062	0.4616	0.009878	0.006932	0.459363
1:37722309	0.0101	0.0136	0.0528	-0.02725	0.015115	0.053167
1:37722711	0.0007	0.0062	0.46319999999999995	-0.010383	0.006882	0.45932
1:37722843	-0.1038	0.1336	0.0009000000000000119	0.196666	0.146293	0.01663
1:37722872	0.0464	0.0353	0.0103	0.026693	0.056868	0.010686
1:37722912	-0.0025	0.0074	0.23560000000000003	0.027756	0.008121	0.247993
1:37723078	-0.0024	0.0063	0.4074	0.016693	0.007001	0.406266
1:37723171	0.0011	0.0062	0.46140000000000003	0.010357	0.006882	0.459153
1:37723267	0.0006	0.0062	0.46319999999999995	-0.010363	0.006882	0.459308
1:37723690	-0.0373	0.0244	0.0199	0.006301	0.065133	0.028443
1:37724025	0.0105	0.0135	0.0528	-0.026942	0.015114	0.053028
1:37724108	-0.0381	0.0617	0.0044999999999999485	-0.15358	0.132288	0.014414000000000038
1:37724162	0.0007	0.0062	0.46319999999999995	-0.010369	0.00688	0.459214
1:37724179	0.0009	0.0062	0.4618	-0.010274	0.00688	0.459102
1:37724255	-0.0445	0.0549	0.0101	0.023606	0.083916	0.011731999999999965
1:37724275	-0.0058	0.0065	0.3566	-0.00839	0.007251	0.363486
1:37724364	-0.0029	0.0063	0.4107	0.01672	0.006995	0.406786
1:37724432	0.0006	0.0062	0.4607	-0.010578	0.006899	0.456252
1:37724449	-0.0662	0.0618	0.0044999999999999485	-0.05	0.13759	0.014353999999999978
1:37724581	0.0015	0.0062	0.4645	0.010786	0.006881	0.460089
1:37724829	0.0014	0.0062	0.46419999999999995	-0.010609	0.006877	0.459213
1:37724948	-0.0151	0.0092	0.1296	-0.011575	0.010298	0.124593
1:37725041	-0.003	0.0063	0.4068	0.016757	0.006997	0.40606
1:37725654	0.0069	0.0375	0.0085	-0.023402	0.039157	0.012339
1:37725720	-0.0029	0.0063	0.4108	0.016772	0.006998	0.40663
1:37725897	-0.0172	0.0145	0.04830000000000001	0.013787	0.017811	0.037377
1:37725974	-0.0104	0.0136	0.05269999999999997	-0.026798	0.015122	0.052912
1:37726252	-0.0021	0.0063	0.4095	0.016979	0.007	0.409885
1:37726929	-0.0132	0.0148	0.045499999999999985	-0.012312	0.017937	0.036944
1:37727023	-0.0025	0.0063	0.4126	0.016984	0.007002	0.410293
1:37727248	-0.0026	0.0063	0.4126	0.016891	0.007005	0.410286
1:37727298	-0.2564	0.1749	0.0006	0.030512	0.112244	0.024827
1:37727312	-0.0002	0.0062	0.4677	-0.011366	0.006943	0.463667
1:37727415	0.0144	0.0149	0.0452	0.011901	0.017959	0.036894
1:37727691	0.0055	0.0094	0.1276	-0.004709	0.010502	0.120962
1:37727720	-0.0078	0.0406	0.0074	-0.007494	0.128656	0.019597
1:37727819	-0.0062	0.0199	0.028100000000000014	-0.036758	0.027554	0.02207
1:37728035	-0.0003	0.0062	0.46619999999999995	-0.010383	0.006897	0.462753
1:37728161	0.0003	0.0062	0.4677	-0.010793	0.006905	0.463695
1:37729013	-0.0209	0.0376	0.0094	-0.007154	0.039404	0.012609
1:37729117	0.0129	0.0266	0.0157	0.05669	0.0317	0.021575
1:37729373	-0.0265	0.0525	0.0067	-0.22881	0.124741	0.019657000000000036
1:37729843	-0.0097	0.0083	0.1727	-0.00656	0.009368	0.161492
1:37730160	0.05	0.0353	0.0119	-0.15987	0.177293	0.010022
1:37730550	-0.0014	0.0062	0.43620000000000003	-0.007852	0.006938	0.422516
1:37730891	-0.0145	0.0136	0.05300000000000005	-0.025948	0.015263	0.052512
1:37731131	0.0032	0.0078	0.1959	0.025866	0.008491	0.206771
1:37731241	-0.014	0.0556	0.006	-0.226716	0.124795	0.01908299999999996
1:37731434	0.0144	0.0136	0.0529	-0.026649	0.015342	0.052415
1:37732042	0.0014	0.0103	0.48540000000000005	0.001481	0.009007	0.477179
1:37732044	-0.0013	0.0101	0.497	0.007333	0.007424	0.499202
1:37732045	-0.0053	0.0064	0.46799999999999997	-0.005955	0.007461	0.49672499999999997
1:37732046	-0.0052	0.0064	0.46709999999999996	-0.007063	0.007429	0.499469
1:37732077	0.0157	0.0137	0.0526	-0.030294	0.015589	0.051559
1:37732081	0.0043	0.0074	0.2359	0.013819	0.008402	0.214025
1:37732093	-0.0212	0.024	0.0279	-0.015911	0.03065	0.032515
1:37732205	-0.0101	0.0082	0.1768	-0.005717	0.009364	0.162982
1:37732760	0.0194	0.0381	0.009299999999999975	0.218305	0.153885	0.014448
1:37733002	0.0362	0.058	0.005299999999999971	0.1727	0.156525	0.012554999999999983
1:37733298	-0.0085	0.0063	0.4173	-0.008844	0.007059	0.403631
1:37733374	-0.0072	0.0381	0.0076	0.140317	0.115956	0.014702
1:37733384	-0.0088	0.0063	0.41659999999999997	-0.008882	0.007065	0.403121
1:37733408	0.0543	0.0445	0.0082	-0.472379	0.352723	0.01125
1:37733639	-0.0089	0.0126	0.06559999999999999	0.031361	0.014533	0.066524
1:37733929	-0.0114	0.0083	0.1723	-0.005443	0.009376	0.161953
1:37734254	0.0036	0.0586	0.014800000000000035	0.064966	0.074896	0.018482
1:37734789	0.0263	0.0245	0.020000000000000018	-0.012046	0.063696	0.025483
1:37734852	-0.0163	0.0383	0.024499999999999966	-0.060488	0.035406	0.02864
1:37735100	-0.0077	0.0063	0.41890000000000005	-0.008108	0.00706	0.40972
1:37735132	0.0075	0.0063	0.418	0.008045	0.007059	0.409742
1:37735532	-0.0081	0.0063	0.4214	-0.00809	0.007111	0.416546
1:37735868	-0.0072	0.0063	0.4234	0.008352	0.007052	0.41164
1:37735934	-0.0116	0.0083	0.1727	-0.005395	0.009364	0.162027
1:37736250	0.0081	0.0063	0.4195	0.008122	0.007053	0.411149
1:37736944	-0.0313	0.0395	0.035	-0.08412	0.06793	0.05050699999999997
1:37736949	-0.008	0.0442	0.0244	0.004384	0.05025	0.034486
1:37737277	0.0197	0.0305	0.0138	-0.033426	0.040007	0.014329
1:37737330	-0.0084	0.0063	0.4215	-0.009403	0.007013	0.408771
1:37737447	-0.0087	0.0063	0.42200000000000004	-0.010614	0.007031	0.41426
1:37737497	0.0506	0.0255	0.0181	0.064886	0.028828	0.015568
1:37737659	0.0093	0.0063	0.4163	0.009341	0.007014	0.408141
1:37738528	-0.0023	0.0088	0.1495	-0.000606	0.009793	0.142366
1:37738840	0.0122	0.0163	0.037	0.013375	0.019433	0.032102
1:37739495	0.0056	0.0245	0.0189	0.000192	0.029529	0.021663
1:37739552	0.0085	0.0062	0.4216	0.009334	0.007007	0.408901
1:37740707	0.0023	0.0435	0.0063	0.024596	0.146613	0.017491
1:37740808	-0.0095	0.0063	0.41659999999999997	-0.009243	0.007007	0.408278
1:37741561	-0.0087	0.0062	0.42169999999999996	-0.009271	0.007002	0.408948
1:37742129	0.0089	0.0062	0.4218	0.009258	0.006999	0.408998
1:37742158	-0.0016	0.012	0.0758	-0.000341	0.013792	0.072249
1:37742356	-0.013	0.0082	0.1728	-0.005504	0.009342	0.162569
1:37742426	0.022	0.0082	0.1708	0.027563	0.009152	0.182113
1:37743137	-0.0498	0.0386	0.0085	0.212372	0.100341	0.013039
1:37743533	0.0089	0.0062	0.4218	0.009233	0.006994	0.409054
1:37743672	0.0036	0.0242	0.0196	-0.068934	0.026322	0.025497
1:37743943	-0.0206	0.0078	0.19240000000000002	-0.029304	0.008719	0.202879
1:37744029	-0.0219	0.0136	0.05300000000000005	0.029408	0.015178	0.054383
1:37744361	-0.0018	0.012	0.0759	-0.000796	0.013701	0.072447
1:37745754	-0.0208	0.0213	0.0222	0.014279	0.023603	0.02122
1:37746321	0.0035	0.0096	0.4213	0.003912	0.008166	0.419273
1:37746582	0.0306	0.0772	0.0030000000000000027	0.19515	0.74162	0.010206
1:37747003	0.0089	0.0062	0.422	0.009105	0.006985	0.409524
1:37747007	-0.0368	0.0584	0.019000000000000017	0.100303	0.175718	0.017568
1:37747335	0.0412	0.1094	0.0015	-0.161303	0.378122	0.012715
1:37747364	-0.0056	0.038	0.0076	0.140604	0.115795	0.014707
1:37747395	-0.0528	0.0255	0.018100000000000005	-0.066162	0.028795	0.015568
1:37747400	-0.0188	0.008	0.18069999999999997	-0.029644	0.008849	0.190686
1:37747746	0.009	0.0062	0.4218	0.009035	0.006968	0.409264
1:37748214	-0.0202	0.0078	0.18889999999999996	-0.029037	0.008725	0.196429
1:37748576	-0.1035	0.0858	0.0028	-0.199573	0.242857	0.010616
1:37749227	-0.0059	0.0074	0.2316	-0.012782	0.00831	0.215411
1:37750087	0.0212	0.0078	0.1903	0.028408	0.008719	0.196909
1:37750100	-0.0127	0.0082	0.1734	-0.005586	0.009321	0.162181
1:37750193	-0.009	0.0062	0.42179999999999995	-0.009072	0.006965	0.409436
1:37750489	0.0126	0.0164	0.037	0.01279	0.01941	0.032159
1:37750614	0.0196	0.0078	0.1892	0.029523	0.008725	0.197384
1:37750877	0.0209	0.0136	0.0528	-0.027622	0.015087	0.053397
1:37751024	-0.009	0.0062	0.42179999999999995	-0.009179	0.006964	0.409502
1:37751096	-0.0014	0.0096	0.42490000000000006	0.004892	0.008154	0.425435
1:37751726	-0.213	0.1721	0.0006	0.026174	0.112547	0.024779
1:37751775	0.0208	0.0078	0.1901	0.028453	0.008723	0.196984
1:37752173	-0.0205	0.0078	0.19169999999999998	-0.028835	0.00872	0.197203
1:37752385	0.0282	0.0356	0.0096	-0.145654	0.163569	0.013328
1:37752707	0.013	0.0134	0.0704	0.073693	0.030359	0.065086
1:37752812	-0.0054	0.0207	0.0262	-0.068853	0.023685	0.031398
1:37752850	-0.0202	0.0078	0.1916	-0.028709	0.008718	0.197215
1:37752973	-0.0129	0.0082	0.1748	-0.004891	0.00932	0.16236
1:37753093	0.0117	0.0768	0.0077	-0.077518	0.193724	0.011549000000000031
1:37753207	-0.0141	0.0844	0.0025	-0.558981	0.248589	0.012365
1:37753321	-0.0186	0.008	0.1804	-0.02909	0.008858	0.191069
1:37753411	-0.0649	0.0439	0.0095	-0.091541	0.141724	0.013071000000000055
1:37753449	0.0146	0.0604	0.0049	0.155418	0.132196	0.014400999999999997
1:37753527	-0.0094	0.0062	0.4213	-0.009217	0.006983	0.409467
1:37753647	-0.0227	0.0503	0.022800000000000042	-0.025702	0.066359	0.02869900000000003
1:37753740	-0.0092	0.0062	0.42169999999999996	-0.009273	0.006983	0.409524
1:37753819	0.001	0.0169	0.0394	-0.037058	0.020863	0.038585
1:37754547	-0.0203	0.0078	0.19169999999999998	-0.028935	0.008732	0.197251
1:37754881	-0.0185	0.0678	0.0039000000000000146	-0.123213	0.155	0.01237200000000005
1:37754884	0.0186	0.008	0.1805	0.029197	0.008867	0.191069
1:37755617	0.0123	0.0636	0.0043	0.013725	0.314863	0.010349
1:37756245	0.0019	0.0247	0.051000000000000045	0.042465	0.021329	0.05747
1:37756628	0.02	0.0079	0.1852	0.027668	0.00883	0.194226
1:37757131	-0.0223	0.0136	0.05269999999999997	0.026843	0.015049	0.053603
1:37757351	0.0329	0.0372	0.0125	-0.0949	0.292772	0.010199999999999987
1:37757861	-0.0092	0.0062	0.4203	-0.009122	0.006991	0.408971
1:37758188	0.0486	0.0404	0.0073	0.010333	0.098744	0.019490000000000007
1:37758312	-0.0092	0.0062	0.4203	-0.00911	0.006992	0.408977
1:37758426	-0.0332	0.0245	0.0201	-0.001192	0.062647	0.025003
1:37759069	0.0071	0.0249	0.0186	-0.001468	0.031266	0.017973
1:37759189	0.0177	0.008	0.18	0.028457	0.008892	0.191539
1:37759423	-0.0062	0.0387	0.0083	0.072775	0.063137	0.027412
1:37760147	0.0243	0.0141	0.0502	-0.026682	0.015362	0.052456
1:37760230	-0.0017	0.0258	0.017	-0.02956	0.026782	0.019624
1:37761016	0.0035	0.0088	0.1483	0.001113	0.009732	0.14256
1:37761401	-0.0134	0.0071	0.2811	-0.0165	0.008261	0.296
1:37761625	-0.0456	0.0385	0.0084	0.216054	0.102	0.012805
1:37762539	0.0098	0.0082	0.17420000000000002	-0.006462	0.009282	0.16349
1:37762647	0.0183	0.008	0.1795	0.029199	0.008896	0.190246
1:37764586	0.0049	0.0078	0.2047	0.007239	0.00894	0.179868
1:37764723	0.0109	0.0127	0.1638	0.02754	0.010437	0.179617
1:37764969	-0.0104	0.0082	0.1742	-0.006437	0.009279	0.163543
1:37765263	-0.0056	0.0118	0.0784	0.000922	0.013534	0.072616
1:37765276	0.01	0.0062	0.4303	0.009641	0.006986	0.417549
1:37765712	0.0008	0.0071	0.25739999999999996	0.011864	0.008112	0.231226
1:37765920	-0.0106	0.0062	0.43210000000000004	-0.009229	0.006977	0.418417
1:37766083	-0.0102	0.0082	0.1741	-0.006412	0.009279	0.163456
1:37766255	0.0174	0.0248	0.0184	0.085163	0.07411	0.022021
1:37766260	-0.0104	0.0082	0.1743	-0.006422	0.009279	0.163451
1:37767014	-0.0058	0.0078	0.2041	-0.004533	0.008966	0.177671
1:37767142	-0.0228	0.0136	0.05269999999999997	0.026932	0.015051	0.053755
1:37768040	-0.0424	0.0323	0.012	-0.051857	0.061171	0.016283999999999965
1:37768131	-0.0105	0.0062	0.43200000000000005	-0.008971	0.006979	0.418613
1:37768132	0.0232	0.0136	0.0528	-0.027467	0.01505	0.053874
1:37768253	-0.024	0.025	0.0198	0.051182	0.071739	0.017098
1:37768483	0.0006	0.0202	0.0271	0.031598	0.026409	0.023657
1:37768936	0.018	0.008	0.1797	0.029358	0.008898	0.190485
1:37769037	0.0099	0.0082	0.17400000000000004	0.006459	0.009276	0.163393
1:37769074	-0.0058	0.0078	0.204	-0.004845	0.008963	0.177626
1:37770042	0.023	0.0136	0.0527	-0.02644	0.01506	0.053821
1:37770623	-0.0098	0.0082	0.1744	-0.00699	0.009261	0.163647
1:37771316	0.0226	0.0136	0.0526	-0.026063	0.015064	0.053828
1:37771769	-0.0068	0.0416	0.017299999999999982	-0.058347	0.036997	0.015954
1:37772341	-0.0444	0.0249	0.018299999999999983	0.06686	0.028871	0.015567
1:37772399	0.0206	0.0135	0.054	-0.02546	0.015022	0.0542
1:37772592	-0.0011	0.0073	0.244	-0.013191	0.008224	0.22335
1:37772682	-0.0034	0.0239	0.0191	-0.012933	0.02756	0.020884
1:37772768	0.0229	0.0136	0.0526	-0.025934	0.015078	0.053844
1:37772937	0.0142	0.0242	0.0197	0.020843	0.035103	0.013087
1:37773050	-0.0082	0.0066	0.32889999999999997	-0.018822	0.00729	0.334918
1:37773476	-0.0002	0.0071	0.25739999999999996	0.011509	0.008136	0.236582
1:37773586	-0.0052	0.0077	0.2061	-0.005394	0.008967	0.178676
1:37773713	0.092	0.053	0.0058	0.428658	0.210148	0.010723
1:37773846	0.0226	0.0136	0.0526	-0.025851	0.015097	0.053867
1:37773854	0.0226	0.0136	0.0526	-0.025835	0.015098	0.053869
1:37774012	0.0006	0.0071	0.2568	-0.011833	0.008129	0.232164
1:37774697	-0.0046	0.0077	0.2069	-0.005255	0.008966	0.179296
1:37774702	0.0231	0.0136	0.0526	-0.025425	0.015111	0.053881
1:37774811	0.0175	0.008	0.1778	0.029433	0.008947	0.189446
1:37774815	-0.0007	0.0071	0.2569	0.011954	0.008132	0.232373
1:37774861	-0.0045	0.0088	0.1472	-0.000991	0.009797	0.14107
1:37774869	-0.0052	0.0077	0.2065	-0.005113	0.008967	0.179301
1:37774935	0.0231	0.0136	0.0526	-0.025516	0.015122	0.053907
1:37775089	0.0007	0.0071	0.257	-0.011679	0.008134	0.232731
1:37775334	-0.0007	0.0071	0.2571	0.011587	0.008135	0.232803
1:37775795	0.0226	0.0136	0.0526	-0.024991	0.015129	0.053946
1:37775871	-0.0226	0.0136	0.05259999999999998	-0.024889	0.015131	0.053948
1:37775981	-0.0013	0.0114	0.255	-0.007991	0.008898	0.211824
1:37775982	0.0218	0.0203	0.0551	-0.024575	0.015133	0.053963
1:37776016	0.1062	0.0599	0.010700000000000043	-0.022892	0.051944	0.012559
1:37776263	-0.0205	0.0084	0.16359999999999997	-0.033829	0.00949	0.176876
1:37776560	-0.0088	0.0063	0.4739	0.002978	0.007411	0.496769
1:37776601	-0.0203	0.0168	0.04410000000000003	0.009203	0.021712	0.041721
1:37776619	0.0087	0.0081	0.2152	-0.002846	0.009932	0.216342
1:37776625	0.019	0.0118	0.082	-0.033937	0.013417	0.093024
1:37776639	-0.0136	0.0102	0.11860000000000004	-0.020869	0.012129	0.128801
1:37776675	0.0039	0.0076	0.21819999999999995	0.001006	0.008751	0.191115
1:37776690	0.0002	0.0071	0.2777	-0.001877	0.008066	0.268647
1:37776726	0.0017	0.007	0.269	-0.008734	0.008087	0.246633
1:37776808	0.0233	0.0139	0.0509	-0.022939	0.015152	0.053885
1:37777024	0.0007	0.007	0.2647	-0.007782	0.008029	0.239379
1:37777115	0.0047	0.0076	0.21530000000000005	0.001262	0.008792	0.186367
1:37777290	-0.0227	0.0139	0.05120000000000002	0.022922	0.015146	0.053716
1:37777759	0.0045	0.0076	0.2156	0.001166	0.008782	0.186526
1:37778331	-0.0091	0.0081	0.1815	-0.007497	0.009183	0.172655
1:37778527	0.0234	0.0139	0.0513	-0.023391	0.015109	0.054002
1:37778564	0.0234	0.0139	0.0513	-0.023636	0.015105	0.053968
1:37778651	0.0189	0.0087	0.1475	0.025943	0.009784	0.163099
1:37778661	-0.0234	0.0139	0.05130000000000001	0.023597	0.015103	0.053958
1:37778687	-0.0237	0.0139	0.05130000000000001	0.023622	0.015104	0.053956
1:37779280	-0.0061	0.0102	0.1152	-0.010601	0.012249	0.125122
1:37779533	-0.0069	0.01	0.38770000000000004	0.012457	0.008738	0.369558
1:37780362	0.0335	0.0291	0.0188	0.013069	0.041406	0.015142
1:37780716	0.0164	0.0439	0.006299999999999972	0.030342	0.134473	0.017066
1:37780821	-0.0062	0.0112	0.0921	0.00355	0.013293	0.08744
1:37780824	0.0071	0.0064	0.3573	0.011927	0.007315	0.346995
1:37780922	-0.007	0.0065	0.3567	0.013337	0.007355	0.34453
1:37780935	-0.0069	0.0064	0.35819999999999996	-0.012022	0.007319	0.349318
1:37781054	-0.0082	0.008	0.1805	-0.006227	0.009266	0.167073
1:37781062	0.0297	0.0249	0.020499999999999963	-0.035123	0.072545	0.022961
1:37781265	-0.0376	0.062	0.0048	0.025625	0.112858	0.024671
1:37781315	0.0202	0.0729	0.0101	0.006308	0.091772	0.01734
1:37782183	-0.011	0.0063	0.406	-0.005634	0.007068	0.399079
1:37782841	-0.0113	0.0092	0.137	-0.012219	0.010345	0.132116
1:37782874	0.0076	0.0066	0.3475	0.009681	0.00734	0.339096
1:37782902	0.0116	0.0063	0.409	0.004545	0.007021	0.401889
1:37783111	0.0084	0.0236	0.0215	-0.061788	0.026345	0.024878
1:37783872	-0.0151	0.0748	0.0076	-0.032768	0.134572	0.01698
1:37783936	-0.0021	0.0206	0.0258	-0.012268	0.02261	0.027275
1:37784494	0.0077	0.0179	0.03320000000000001	0.024741	0.020805	0.035042
1:37784549	0.0769	0.0535	0.0061	-0.048206	0.055771	0.01154
1:37784701	0.0156	0.0204	0.0726	0.013987	0.017281	0.083432
1:37784712	-0.0079	0.0099	0.116	0.003502	0.011626	0.107802
1:37784742	-0.0081	0.0178	0.0333	-0.025324	0.020595	0.035227
1:37784853	-0.0015	0.007	0.293	0.00369	0.007865	0.296542
1:37785148	0.0011	0.0072	0.3005	0.001519	0.00802	0.307482
1:37785397	-0.0092	0.009	0.1449	-0.006323	0.010177	0.139263
1:37785527	0.0069	0.0063	0.4748	0.004234	0.007101	0.466309
